Orthogroup	GCA_900044135.1_GZPH1RResV1_protein	GCF_000182925.2_NC12_protein	GCF_000213175.1_v2.0_protein
OG0006088	CEF88638.1	XP_964600.2	XP_009855319.1
OG0006089	CEF88643.1	XP_962503.3	XP_009849399.1
OG0006090	CEF88644.1	XP_961551.1	XP_009848074.1
OG0006091	CEF88645.1	XP_001728497.1	XP_009850986.1
OG0006092	CEF88650.1	XP_961117.3	XP_009848271.1
OG0006093	CEF88651.1	XP_011394362.1	XP_009849034.1
OG0006094	CEF88655.1	XP_965165.3	XP_009855851.1
OG0006095	CEF88656.1	XP_964927.2	XP_009855640.1
OG0006096	CEF88667.1	XP_963230.2	XP_009851692.1
OG0006097	CEF88668.1	XP_959541.3	XP_009853353.1
OG0006098	CEF88680.1	XP_962918.2	XP_009850705.1
OG0006099	CEF88686.1	XP_960934.3	XP_009847930.1
OG0006100	CEF88697.1	XP_956612.1	XP_009852204.1
OG0006101	CEF88702.1	XP_959522.1	XP_009853555.1
OG0006102	CEF88704.1	XP_961693.1	XP_009848151.1
OG0006103	CEF88705.1	XP_961159.1	XP_009847649.1
OG0006104	CEF88706.1	XP_962569.1	XP_009848740.1
OG0006105	CEF88709.1	XP_957028.3	XP_009849583.1
OG0006106	CEF88711.1	XP_957786.1	XP_009851089.1
OG0006107	CEF88714.1	XP_964222.1	XP_009855963.1
OG0006108	CEF88717.1	XP_962578.1	XP_009849494.1
OG0006109	CEF88729.1	XP_959965.2	XP_009853237.1
OG0006110	CEF88731.1	XP_959032.1	XP_009850281.1
OG0006111	CEF88739.1	XP_956469.1	XP_009852168.1
OG0006112	CEF88749.1	XP_001728435.2	XP_009851631.1
OG0006113	CEF88753.1	XP_956843.1	XP_009852498.1
OG0006114	CEF88754.1	XP_961550.1	XP_009848075.1
OG0006115	CEF88757.1	XP_959086.2	XP_009850415.1
OG0006116	CEF88760.1	XP_956614.1	XP_009851668.1
OG0006117	CEF88762.1	XP_011393709.1	XP_009851588.1
OG0006118	CEF88763.1	XP_961944.3	XP_009849222.1
OG0006119	CEF88765.1	XP_964447.2	XP_009849276.1
OG0006120	CEF88768.1	XP_956212.1	XP_009851993.1
OG0006121	CEF88776.1	XP_961023.1	XP_009847328.1
OG0006122	CEF88781.1	XP_957664.1	XP_009854397.1
OG0006123	CEF88784.1	XP_959901.3	XP_009853503.1
OG0006124	CEF88796.1	XP_959481.1	XP_009853447.1
OG0006125	CEF88797.1	XP_957174.1	XP_009852130.1
OG0006126	CEF88806.1	XP_961307.1	XP_009847692.1
OG0006127	CEF88808.1	XP_961755.1	XP_009849773.1
OG0006128	CEF88810.1	XP_959915.3	XP_009853492.1
OG0006129	CEF88815.1	XP_964184.2	XP_009856322.1
OG0006130	CEF88818.1	XP_962305.2	XP_009849362.1
OG0006131	CEF88820.1	XP_962368.3	XP_009849263.1
OG0006132	CEF88823.1	XP_959760.1	XP_009853435.1
OG0006133	CEF88838.1	XP_956011.3	XP_009852663.1
OG0006134	CEF88844.1	XP_956588.3	XP_009850978.1
OG0006135	CEF88849.1	XP_962479.1	XP_009849846.1
OG0006136	CEF88858.1	XP_011394081.1	XP_009849689.1
OG0006137	CEF88860.1	XP_961196.1	XP_009848239.1
OG0006138	CEF88861.1	XP_959501.2	XP_009853517.1
OG0006139	CEF88863.1	XP_963209.1	XP_009851682.1
OG0006140	CEF88865.1	XP_964772.2	XP_009855729.1
OG0006141	CEF88868.1	XP_956828.2	XP_009852487.1
OG0006142	CEF88869.1	XP_962334.2	XP_009849229.1
OG0006143	CEF88886.1	XP_958826.3	XP_009854872.1
OG0006144	CEF88889.1	XP_956880.2	XP_009852069.1
OG0006145	CEF88891.1	XP_959940.1	XP_009853466.1
OG0006146	CEF88893.1	XP_958787.1	XP_009854659.1
OG0006147	CEF88896.1	XP_962529.1	XP_009849378.1
OG0006148	SCB63989.1	XP_962175.2	XP_009849988.1
OG0006149	SCB63995.1	XP_965740.1	XP_009857168.1
OG0006150	SCB63999.1	XP_001728455.2	XP_009857114.1
OG0006151	SCB64000.1	XP_965735.3	XP_009857163.1
OG0006152	SCB64002.1	XP_964089.2	XP_009857102.1
OG0006153	SCB64004.1	XP_965811.3	XP_009855530.1
OG0006154	SCB64013.1	XP_962435.3	XP_009849136.1
OG0006155	SCB64019.1	XP_964871.1	XP_009855389.1
OG0006156	SCB64020.1	XP_964721.1	XP_009857123.1
OG0006157	SCB64022.1	XP_964557.2	XP_009855586.1
OG0006158	SCB64025.1	XP_957191.3	XP_009852147.1
OG0006159	SCB64026.1	XP_956516.3	XP_009852011.1
OG0006160	SCB64027.1	XP_956856.1	XP_009854885.1
OG0006161	SCB64028.1	XP_956121.1	XP_009852651.1
OG0006162	SCB64029.1	XP_956031.3	XP_009851577.1
OG0006163	SCB64030.1	XP_956912.3	XP_009852092.1
OG0006164	SCB64032.1	XP_963678.1	XP_009852311.1
OG0006165	SCB64033.1	XP_963679.2	XP_009852313.1
OG0006166	SCB64034.1	XP_959922.1	XP_009853485.1
OG0006167	SCB64040.1	XP_961095.2	XP_009847351.1
OG0006168	SCB64041.1	XP_011392772.1, XP_011392773.1	
OG0006169	SCB64046.1	XP_957916.2	XP_009856489.1
OG0006170	SCB64048.1	XP_958903.1	XP_009856101.1
OG0006171	SCB64049.1	XP_958901.2	XP_009856103.1
OG0006172	SCB64050.1	XP_011393246.1	XP_009856104.1
OG0006173	SCB64051.1	XP_958899.1	XP_009856105.1
OG0006174	SCB64053.1	XP_965262.1	XP_009856047.1
OG0006175	SCB64054.1	XP_957430.2	XP_009847453.1
OG0006176	SCB64055.1	XP_958914.1	XP_009856090.1
OG0006177	SCB64056.1	XP_001728408.1	XP_009856574.1
OG0006178	SCB64057.1	XP_963844.2	XP_009856529.1
OG0006179	SCB64058.1	XP_965135.2	XP_009856530.1
OG0006180	SCB64060.1	XP_965383.3	XP_009857009.1
OG0006181	SCB64062.1	XP_965305.1	XP_009856248.1
OG0006182	SCB64064.1	XP_965405.3	XP_009857028.1
OG0006183	SCB64068.1	XP_963841.1	XP_009855046.1
OG0006184	SCB64069.1	XP_963840.3	XP_009855045.1
OG0006185	SCB64071.1	XP_964453.2	XP_009857254.1
OG0006186	SCB64072.1	XP_964406.3	XP_009856199.1
OG0006187	SCB64073.1	XP_011393381.1	XP_009856197.1
OG0006188	SCB64074.1	XP_964127.2	XP_009855522.1
OG0006189	SCB64075.1	XP_963957.2	XP_009856416.1
OG0006190	SCB64076.1	XP_964035.3	XP_009857361.1
OG0006191	SCB64077.1	XP_965661.1	XP_009856764.1
OG0006192	SCB64078.1	XP_964129.1	XP_009855520.1
OG0006193	SCB64080.1	XP_965087.1	XP_009856799.1
OG0006194	SCB64081.1	XP_965091.1	XP_009856795.1
OG0006195	SCB64085.1	XP_962136.2	XP_009849883.1
OG0006196	SCB64087.1	XP_963927.3	XP_009856436.1
OG0006197	SCB64088.1	XP_964274.2	XP_009857263.1
OG0006198	SCB64089.1	XP_963710.1	XP_009856400.1
OG0006199	SCB64090.1	XP_964671.1	XP_009855344.1
OG0006200	SCB64095.1	XP_011393620.1	XP_009851891.1
OG0006201	SCB64096.1	XP_956123.1	XP_009852653.1
OG0006202	SCB64097.1	XP_965024.1	XP_009856661.1
OG0006203	SCB64098.1	XP_965022.1	XP_009856664.1
OG0006204	SCB64099.1	XP_964961.1	XP_009856354.1
OG0006205	SCB64100.1	XP_964982.3	XP_009856333.1
OG0006206	SCB64103.1	XP_964750.3	XP_009855795.1
OG0006207	SCB64104.1	XP_964753.2	XP_009855799.1
OG0006208	SCB64105.1	XP_963719.1	XP_009855780.1
OG0006209	SCB64106.1	XP_963823.1	XP_009855776.1
OG0006210	SCB64110.1	XP_963728.2	XP_009855296.1
OG0006211	SCB64112.1	XP_958880.2	XP_009855927.1
OG0006212	SCB64114.1	XP_964605.1	XP_009855314.1
OG0006213	SCB64115.1	XP_958644.2	XP_009855877.1
OG0006214	SCB64119.1	XP_964378.2	XP_009855588.1
OG0006215	SCB64120.1	XP_011392822.1	XP_009855589.1
OG0006216	SCB64124.1	XP_001728477.2	XP_009855761.1
OG0006217	SCB64127.1	XP_959732.2	XP_009853630.1
OG0006218	SCB64128.1	XP_956726.1	XP_009852544.1
OG0006219	SCB64132.1	XP_964186.3	XP_009856319.1
OG0006220	SCB64135.1	XP_965685.2	XP_009856738.1
OG0006221	SCB64136.1	XP_965015.2	XP_009856671.1
OG0006222	SCB64139.1	XP_965008.1	XP_009856680.1
OG0006223	SCB64141.1	XP_965045.1	XP_009855069.1
OG0006224	SCB64142.1	XP_965698.2	XP_009856723.1
OG0006225	SCB64145.1	XP_965252.1	XP_009856034.1
OG0006226	SCB64146.1	XP_964966.1	XP_009856349.1
OG0006227	SCB64150.1	XP_963615.1	XP_009852265.1
OG0006228	SCB64152.1	XP_964054.1	XP_009856654.1
OG0006229	SCB64153.1	XP_964046.2	XP_009857052.1
OG0006230	SCB64155.1	XP_958132.2	XP_009855901.1
OG0006231	SCB64156.1	XP_958131.2	XP_009855900.1
OG0006232	SCB64159.1	XP_957500.2	XP_009849614.1
OG0006233	SCB64164.1	XP_965477.1	XP_009856579.1
OG0006234	SCB64165.1	XP_965478.1	XP_009856578.1
OG0006235	SCB64166.1	XP_001728409.1	XP_009856575.1
OG0006236	SCB64167.1	XP_965469.1	XP_009856589.1
OG0006237	SCB64168.1	XP_964271.2	XP_009857278.1
OG0006238	SCB64170.1	XP_964497.1	XP_009856131.1
OG0006239	SCB64171.1	XP_001728403.1	XP_009857276.1
OG0006240	SCB64174.1	XP_001728015.2	XP_009857342.1
OG0006241	SCB64175.1	XP_965657.2	XP_009856769.1
OG0006242	SCB64176.1	XP_965644.1	XP_009856780.1
OG0006243	SCB64177.1	XP_960464.3	XP_009854318.1
OG0006244	SCB64178.1	XP_965645.1	XP_009856779.1
OG0006245	SCB64179.1	XP_965639.1	XP_009856786.1
OG0006246	SCB64182.1	XP_964420.2	XP_009856187.1
OG0006247	SCB64183.1	XP_964215.2	XP_009856165.1
OG0006248	SCB64184.1	XP_964456.3	XP_009857252.1
OG0006249	SCB64185.1	XP_964957.1	XP_009856358.1
OG0006250	SCB64186.1	XP_964959.2	XP_009856356.1
OG0006251	SCB64188.1	XP_964486.1	XP_009856142.1
OG0006252	SCB64189.1	XP_963907.1	XP_009855115.1
OG0006253	SCB64190.1	XP_965174.1	XP_009855860.1
OG0006254	SCB64191.1	XP_963742.1	XP_009857354.1
OG0006255	SCB64192.1	XP_965382.3	XP_009857008.1
OG0006256	SCB64194.1	XP_965129.1	XP_009856537.1
OG0006257	SCB64195.1	XP_963775.3	XP_009856495.1
OG0006258	SCB64196.1	XP_963776.2	XP_009856496.1
OG0006259	SCB64198.1	XP_964166.2	XP_009856384.1
OG0006260	SCB64199.1	XP_962150.2	XP_009849873.1
OG0006261	SCB64200.1	XP_962148.2	XP_009848715.1
OG0006262	SCB64202.1	XP_965462.3	XP_009856596.1
OG0006263	SCB64204.1	XP_965050.1	XP_009855066.1
OG0006264	SCB64206.1	XP_963751.3	XP_009855099.1
OG0006265	SCB64208.1	XP_963921.3	XP_009856430.1
OG0006266	SCB64209.1	XP_963953.2	XP_009856412.1
OG0006267	SCB64210.1	XP_964693.2	XP_009857322.1
OG0006268	SCB64213.1	XP_965110.1	XP_009856555.1
OG0006269	SCB64216.1	XP_964072.1	XP_009856449.1
OG0006270	SCB64218.1	XP_958623.3	XP_009856466.1
OG0006271	SCB64219.1	XP_958621.1	XP_009856468.1
OG0006272	SCB64222.1	XP_965354.1	XP_009856989.1
OG0006273	SCB64224.1	XP_962088.2	XP_009849105.1
OG0006274	SCB64227.1	XP_964024.3	XP_009856423.1
OG0006275	SCB64228.1	XP_963834.2	XP_009856515.1
OG0006276	SCB64230.1	XP_965366.2	XP_009856998.1
OG0006277	SCB64234.1	XP_965630.2	XP_009856973.1
OG0006278	SCB64236.1	XP_964105.1	XP_009855271.1
OG0006279	SCB64239.1	XP_956278.3	XP_009852056.1
OG0006280	SCB64241.1	XP_957154.1	XP_009852114.1
OG0006281	SCB64243.1	XP_959725.2	XP_009853636.1
OG0006282	SCB64245.1	XP_956506.2	XP_009852005.1
OG0006283	SCB64246.1	XP_956964.1	XP_009851939.1
OG0006284	SCB64247.1	XP_956863.2	XP_009852517.1
OG0006285	SCB64248.1	XP_956721.2	XP_009852533.1
OG0006286	SCB64249.1	XP_963434.1	XP_009851894.1
OG0006287	SCB64251.1	XP_956468.3	XP_009852467.1
OG0006288	SCB64253.1	XP_965268.1	XP_009856054.1
OG0006289	SCB64255.1	XP_963944.1	XP_009857273.1
OG0006290	SCB64257.1	XP_963933.2	XP_009856079.1
OG0006291	SCB64258.1	XP_965282.1	XP_009856072.1
OG0006292	SCB64259.1	XP_956268.2	XP_009852045.1
OG0006293	SCB64260.1	XP_963524.2	XP_009852241.1
OG0006294	SCB64262.1	XP_001727961.1	XP_009852224.1
OG0006295	SCB64263.1	XP_963509.2	XP_009852228.1
OG0006296	SCB64264.1	XP_956624.2	XP_009852217.1
OG0006297	SCB64265.1	XP_963506.3	XP_009852225.1
OG0006298	SCB64267.1	XP_956459.2	XP_009852458.1
OG0006299	SCB64268.1	XP_956461.3	XP_009852460.1
OG0006300	SCB64271.1	XP_955774.2	XP_009852641.1
OG0006301	SCB64272.1	XP_955773.2	XP_009852640.1
OG0006302	SCB64273.1	XP_955772.2	XP_009852638.1
OG0006303	SCB64275.1	XP_963214.2	XP_009851676.1
OG0006304	SCB64280.1	XP_963355.3	XP_009852411.1
OG0006305	SCB64282.1	XP_963245.3	XP_009852370.1
OG0006306	SCB64283.1	XP_956444.1	XP_009852442.1
OG0006307	SCB64284.1	XP_963589.2	XP_009851822.1
OG0006308	SCB64286.1	XP_956802.1	XP_009852616.1
OG0006309	SCB64290.1	XP_956449.1	XP_009852447.1
OG0006310	SCB64292.1	XP_958378.1	XP_009847510.1
OG0006311	SCB64294.1	XP_963591.2	XP_009851820.1
OG0006312	SCB64295.1	XP_959867.2	XP_009853756.1
OG0006313	SCB64318.1	XP_959176.1	XP_009848482.1
OG0006314	SCB64320.1	XP_961015.1	XP_009847276.1
OG0006315	SCB64321.1	XP_961276.2	XP_009847720.1
OG0006316	SCB64322.1	XP_011394836.1	XP_009847944.1
OG0006317	SCB64323.1	XP_956740.1	XP_009847772.1
OG0006318	SCB64325.1	XP_960713.1	XP_009847941.1
OG0006319	SCB64326.1	XP_961401.2	XP_009847297.1
OG0006320	SCB64327.1	XP_962672.2	XP_009849730.1
OG0006321	SCB64328.1	XP_962655.3	XP_009849711.1
OG0006322	SCB64329.1	XP_962654.2	XP_009849710.1
OG0006323	SCB64332.1	XP_961909.1	XP_009850102.1
OG0006324	SCB64333.1	XP_961910.2	XP_009850101.1
OG0006325	SCB64334.1	XP_011394409.1	XP_009849687.1
OG0006326	SCB64336.1	XP_011394408.1	XP_009849686.1
OG0006327	SCB64337.1	XP_956331.3	XP_009849685.1
OG0006328	SCB64346.1	XP_958411.1	XP_009849017.1
OG0006329	SCB64348.1	XP_961443.1	XP_009848359.1
OG0006330	SCB64349.1	XP_011394620.1	XP_009847695.1
OG0006331	SCB64350.1	XP_961292.3	XP_009847705.1
OG0006332	SCB64352.1	XP_958689.1	XP_009848586.1
OG0006333	SCB64354.1	XP_958704.2	XP_009847130.1
OG0006334	SCB64355.1	XP_960662.2	XP_009848681.1
OG0006335	SCB64357.1	XP_958282.2	XP_009848434.1
OG0006336	SCB64358.1	XP_958279.2	XP_009847374.1
OG0006337	SCB64359.1	XP_957904.1	XP_009848665.1
OG0006338	SCB64363.1	XP_957936.2	XP_009848590.1
OG0006339	SCB64369.1	XP_961681.2	XP_009848162.1
OG0006340	SCB64370.1	XP_961582.3	XP_009848047.1
OG0006341	SCB64371.1	XP_961585.2	XP_009848044.1
OG0006342	SCB64372.1	XP_960763.2	XP_009848535.1
OG0006343	SCB64379.1	XP_959557.1	XP_009853590.1
OG0006344	SCB64383.1	XP_956348.3	XP_009854788.1
OG0006345	SCB64385.1	XP_958957.2	XP_009852732.1
OG0006346	SCB64386.1	XP_960206.1	XP_009854183.1
OG0006347	SCB64390.1	XP_960308.3	XP_009853937.1
OG0006348	SCB64392.1	XP_960306.1	XP_009853938.1
OG0006349	SCB64393.1	XP_960166.3	XP_009854206.1
OG0006350	SCB64419.1	XP_961021.1	XP_009848125.1
OG0006351	SCB64421.1	XP_959841.3	XP_009853726.1
OG0006352	SCB64427.1	XP_959840.1	XP_009853725.1
OG0006353	SCB64430.1	XP_961882.2	XP_009850154.1
OG0006354	SCB64431.1	XP_961884.1	XP_009850152.1
OG0006355	SCB64432.1	XP_960088.1	XP_009853704.1
OG0006356	SCB64434.1	XP_963079.2	XP_009850734.1
OG0006357	SCB64435.1	XP_963082.1	XP_009850738.1
OG0006358	SCB64436.1	XP_962921.1	XP_009850710.1
OG0006359	SCB64437.1	XP_956195.1	XP_009850923.1
OG0006360	SCB64439.1	XP_956186.1	XP_009850917.1
OG0006361	SCB64441.1	XP_956670.2	XP_009850336.1
OG0006362	SCB64443.1	XP_962950.2	XP_009850517.1
OG0006363	SCB64449.1	XP_962875.2	XP_009850781.1
OG0006364	SCB64451.1	XP_956991.2	XP_009850792.1
OG0006365	SCB64452.1	XP_956776.1	XP_009851226.1
OG0006366	SCB64455.1	XP_962945.3	XP_009850512.1
OG0006367	SCB64456.1	XP_963006.2	XP_009850699.1
OG0006368	SCB64459.1	XP_957243.2	XP_009850904.1
OG0006369	SCB64462.1	XP_960973.1	XP_009847567.1
OG0006370	SCB64463.1	XP_960192.1	XP_009854174.1
OG0006371	SCB64467.1	XP_011395201.1	XP_009853679.1
OG0006372	SCB64469.1	XP_959747.1	XP_009853657.1
OG0006373	SCB64476.1	XP_963051.1	XP_009850456.1
OG0006374	SCB64477.1	XP_962794.1	XP_009850447.1
OG0006375	SCB64480.1	XP_962902.3	XP_009850484.1
OG0006376	SCB64481.1	XP_958432.3	XP_009850382.1
OG0006377	SCB64482.1	XP_958428.1	XP_009850385.1
OG0006378	SCB64483.1	XP_958506.2	XP_009850376.1
OG0006379	SCB64485.1	XP_957856.2	XP_009850388.1
OG0006380	SCB64488.1	XP_965329.1	XP_009856225.1
OG0006381	SCB64489.1	XP_964665.1	XP_009855348.1
OG0006382	SCB64490.1	XP_964668.3	XP_009855346.1
OG0006383	SCB64492.1	XP_962450.2	XP_009849125.1
OG0006384	SCB64493.1	XP_957071.1	XP_009849541.1
OG0006385	SCB64495.1	XP_957480.3	XP_009848780.1
OG0006386	SCB64496.1	XP_957484.1	XP_009849629.1
OG0006387	SCB64497.1	XP_957485.2	XP_009849628.1
OG0006388	SCB64499.1	XP_011395054.1	XP_009854457.1
OG0006389	SCB64500.1	XP_956576.3	XP_009854453.1
OG0006390	SCB64501.1	XP_011395052.1, XP_011395053.1	
OG0006391	SCB64502.1	XP_960062.1	XP_009853684.1
OG0006392	SCB64503.1	XP_958982.3	XP_009852927.1
OG0006393	SCB64506.1	XP_011394844.1, XP_011394845.1	
OG0006394	SCB64507.1	XP_957378.2	XP_009847412.1
OG0006395	SCB64509.1	XP_960960.2	XP_009847576.1
OG0006396	SCB64510.1	XP_960966.1	XP_009847573.1
OG0006397	SCB64513.1	XP_957594.3	XP_009854489.1
OG0006398	SCB64515.1	XP_960703.2	XP_009847865.1
OG0006399	SCB64516.1	XP_960704.3	XP_009847280.1
OG0006400	SCB64517.1	XP_961234.1	XP_009847623.1
OG0006401	SCB64518.1	XP_960950.1	XP_009847581.1
OG0006402	SCB64519.1	XP_961091.1	XP_009847583.1
OG0006403	SCB64520.1	XP_960916.2	XP_009847854.1
OG0006404	SCB64523.1	XP_959182.1	XP_009848488.1
OG0006405	SCB64525.1	XP_958853.1	XP_009848458.1
OG0006406	SCB64526.1	XP_957380.3	XP_009847067.1
OG0006407	SCB64528.1	XP_961523.1	XP_009848098.1
OG0006408	SCB64529.1	XP_960877.1	XP_009847880.1
OG0006409	SCB64533.1	XP_961419.3	XP_009847294.1
OG0006410	SCB64536.1	XP_961616.1	XP_009848209.1
OG0006411	SCB64537.1	XP_001728178.2	XP_009847853.1
OG0006412	SCB64538.1	XP_960975.1	XP_009847218.1
OG0006413	SCB64539.1	XP_960578.1	XP_009847564.1
OG0006414	SCB64540.1	XP_960881.3	XP_009847877.1
OG0006415	SCB64544.1	XP_958840.2	XP_009847377.1
OG0006416	SCB64545.1	XP_958858.1	XP_009848462.1
OG0006417	SCB64546.1	XP_959179.1	XP_009848485.1
OG0006418	SCB64547.1	XP_959208.2	XP_009848508.1
OG0006419	SCB64549.1	XP_961629.2	XP_009848198.1
OG0006420	SCB64550.1	XP_961635.2	XP_009847335.1
OG0006421	SCB64554.1	XP_960688.3	XP_009847034.1
OG0006422	SCB64555.1	XP_960837.1	XP_009847900.1
OG0006423	SCB64556.1	XP_961435.2	XP_009847289.1
OG0006424	SCB64557.1	XP_961427.1	XP_009847955.1
OG0006425	SCB64558.1	XP_960962.3	XP_009847219.1
OG0006426	SCB64559.1	XP_960963.1	XP_009847575.1
OG0006427	SCB64562.1	XP_957885.3	XP_009848476.1
OG0006428	SCB64566.1	XP_964540.2	XP_009855567.1
OG0006429	SCB64567.1	XP_960659.1	XP_009847805.1
OG0006430	SCB64568.1	XP_960660.2	XP_009847804.1
OG0006431	SCB64573.1	XP_961653.3	XP_009847334.1
OG0006432	SCB64574.1	XP_961069.3	XP_009847598.1
OG0006433	SCB64576.1	XP_961619.1	XP_009848207.1
OG0006434	SCB64577.1	XP_960910.1	XP_009847861.1
OG0006435	SCB64579.1	XP_960972.1	XP_009847568.1
OG0006436	SCB64580.1	XP_958852.1	XP_009848457.1
OG0006437	SCB64581.1	XP_958847.1	XP_009848455.1
OG0006438	SCB64582.1	XP_960784.1	XP_009847529.1
OG0006439	SCB64583.1	XP_960907.1	XP_009847808.1
OG0006440	SCB64586.1	XP_960794.1	XP_009847523.1
OG0006441	SCB64587.1	XP_957907.1	XP_009847210.1
OG0006442	SCB64589.1	XP_958670.1	XP_009848427.1
OG0006443	SCB64591.1	XP_961232.3	XP_009854875.1
OG0006444	SCB64594.1	XP_960608.2	XP_009847560.1
OG0006445	SCB64598.1	XP_960580.2	XP_009847562.1
OG0006446	SCB64603.1	XP_955864.3	XP_009854574.1
OG0006447	SCB64604.1	XP_959199.1	XP_009847383.1
OG0006448	SCB64605.1	XP_959751.3	XP_009853442.1
OG0006449	SCB64606.1	XP_960678.2	XP_009847212.1
OG0006450	SCB64608.1	XP_961425.1	XP_009847075.1
OG0006451	SCB64609.1	XP_961422.1	XP_009847959.1
OG0006452	SCB64610.1	XP_961421.2	XP_009847293.1
OG0006453	SCB64620.1	XP_955980.3	XP_009853169.1
OG0006454	SCB64629.1	XP_959078.1	XP_009850407.1
OG0006455	SCB64639.1	XP_961678.1	XP_009848165.1
OG0006456	SCB64667.1	XP_965620.1	XP_009856964.1
OG0006457	SCB64668.1	XP_965616.1	XP_009856960.1
OG0006458	SCB64669.1	XP_960006.3	XP_009853203.1
OG0006459	SCB64670.1	XP_964609.3	XP_009855308.1
OG0006460	SCB64676.1	XP_957064.3	XP_009849547.1
OG0006461	SCB64680.1	XP_962576.2	XP_009849496.1
OG0006462	SCB64681.1	XP_962579.1	XP_009849493.1
OG0006463	SCB64683.1	XP_962574.1	XP_009849497.1
OG0006464	SCB64684.1	XP_962594.2	XP_009849478.1
OG0006465	SCB64685.1	XP_964395.3	XP_009855605.1
OG0006466	SCB64686.1	XP_964387.3	XP_009855598.1
OG0006467	SCB64688.1	XP_959639.1	XP_009853534.1
OG0006468	SCB64694.1	XP_961977.1	XP_009849304.1
OG0006469	SCB64695.1	XP_962160.3	XP_009849977.1
OG0006470	SCB64699.1	XP_962317.3	XP_009849349.1
OG0006471	SCB64700.1	XP_962210.3	XP_009850164.1
OG0006472	SCB64705.1	XP_961507.3	XP_009847352.1
OG0006473	SCB64706.1	XP_961555.2	XP_009847315.1
OG0006474	SCB64707.1	XP_011394826.1	XP_009848233.1
OG0006475	SCB64709.1	XP_956818.1	XP_009852626.1
OG0006476	SCB64710.1	XP_957183.2	XP_009852140.1
OG0006477	SCB64712.1	XP_956056.2	XP_009852563.1
OG0006478	SCB64716.1	XP_955992.2	XP_009847749.1
OG0006479	SCB64717.1	XP_955991.1	XP_009847748.1
OG0006480	SCB64718.1	XP_961305.2	XP_009847694.1
OG0006481	SCB64719.1	XP_960886.1	XP_009847822.1
OG0006482	SCB64720.1	XP_961861.2	XP_009850022.1
OG0006483	SCB64721.1	XP_962111.2	XP_009849908.1
OG0006484	SCB64723.1	XP_961939.3	XP_009849218.1
OG0006485	SCB64724.1	XP_961937.1	XP_009849216.1
OG0006486	SCB64725.1	XP_961936.2	XP_009849215.1
OG0006487	SCB64726.1	XP_961938.1	XP_009849217.1
OG0006488	SCB64727.1	XP_011394379.1	XP_009849273.1
OG0006489	SCB64729.1	XP_962365.3	XP_009849259.1
OG0006490	SCB64730.1	XP_962079.3	XP_009850068.1
OG0006491	SCB64732.1	XP_962325.1	XP_009849343.1
OG0006492	SCB64734.1	XP_962611.1	XP_009849930.1
OG0006493	SCB64735.1	XP_962509.2	XP_009849393.1
OG0006494	SCB64736.1	XP_962671.1	XP_009849729.1
OG0006495	SCB64737.1	XP_958580.2	XP_009854637.1
OG0006496	SCB64739.1	XP_960190.1	XP_009854171.1
OG0006497	SCB64742.1	XP_011395060.1	XP_009854656.1
OG0006498	SCB64748.1	XP_959009.2	XP_009851272.1
OG0006499	SCB64749.1	XP_955956.1	XP_009850578.1
OG0006500	SCB64750.1	XP_962816.1	XP_009850562.1
OG0006501	SCB64751.1	XP_962724.1	XP_009850556.1
OG0006502	SCB64753.1	XP_963132.1	XP_009850553.1
OG0006503	SCB64755.1	XP_956178.1	XP_009851256.1
OG0006504	SCB64756.1	XP_956179.2	XP_009851257.1
OG0006505	SCB64757.1	XP_001728495.1	XP_009850945.1
OG0006506	SCB64758.1	XP_957121.1	XP_009850238.1
OG0006507	SCB64760.1	XP_957790.1	XP_009851095.1
OG0006508	SCB64765.1	XP_955951.1	XP_009850575.1
OG0006509	SCB64767.1	XP_963124.1	XP_009850546.1
OG0006510	SCB64771.1	XP_956401.1	XP_009850958.1
OG0006511	SCB64772.1	XP_011394050.1	XP_009851075.1
OG0006512	SCB64773.1	XP_956411.2	XP_009850966.1
OG0006513	SCB64774.1	XP_957740.1	XP_009851047.1
OG0006514	SCB64775.1	XP_959035.1	XP_009851298.1
OG0006515	SCB64777.1	XP_959030.1	XP_009851294.1
OG0006516	SCB64778.1	XP_959029.1	XP_009851293.1
OG0006517	SCB64779.1	XP_959028.1	XP_009851292.1
OG0006518	SCB64783.1	XP_965277.1	XP_009856065.1
OG0006519	SCB64784.1	XP_965276.1	XP_009856064.1
OG0006520	SCB64785.1	XP_965157.3	XP_009855842.1
OG0006521	SCB64786.1	XP_001728481.2	XP_009855844.1
OG0006522	SCB64787.1	XP_965160.1	XP_009855845.1
OG0006523	SCB64788.1	XP_965172.1	XP_009855097.1
OG0006524	SCB64791.1	XP_011395065.1	XP_009854824.1
OG0006525	SCB64792.1	XP_965641.1	XP_009856784.1
OG0006526	SCB64794.1	XP_964824.1	XP_009857373.1
OG0006527	SCB64797.1	XP_961839.3	XP_009849974.1
OG0006528	SCB64799.1	XP_962628.1	XP_009849946.1
OG0006529	SCB64802.1	XP_956327.1	XP_009849690.1
OG0006530	SCB64803.1	XP_962642.2	XP_009849959.1
OG0006531	SCB64804.1	XP_962641.3	XP_009849958.1
OG0006532	SCB64806.1	XP_962606.1	XP_009849925.1
OG0006533	SCB64810.1	XP_957520.2	XP_009849598.1
OG0006534	SCB64812.1	XP_959612.1	XP_009853308.1
OG0006535	SCB64813.1	XP_956711.1	XP_009852525.1
